12:58:32,910;0;0;0;0;0;0
12:58:32,922;0;0;0;0;0;0
12:58:32,930;0;0;0;0;0;0
12:58:32,941;0;0;0;0;0;0
12:58:32,950;0;0;0;0;0;0
12:58:32,960;0;0;0;0;0;0
12:58:32,970;0;0;0;0;0;0
12:58:32,994;0;0;0;0;0;0
12:58:32,998;0;0;0;0;0;0
12:58:33,002;0;0;0;0;0;0
12:58:33,010;0;0;0;0;0;0
12:58:33,023;0;0;0;0;0;0
12:58:33,029;0;0;0;0;0;0
12:58:33,039;0;0;0;0;0;0
12:58:33,049;0;0;0;0;0;0
12:58:33,059;0;0;0;0;0;0
12:58:33,069;0;0;0;0;0;0
12:58:33,080;0;0;0;0;0;0
12:58:33,092;0;0;0;0;0;0
12:58:33,099;0;0;0;0;0;0
12:58:33,109;0;0;0;0;0;0
12:58:33,119;0;0;0;0;0;0
12:58:33,129;0;0;0;0;0;0
12:58:33,140;0;0;0;0;0;0
12:58:33,150;0;0;0;0;0;0
12:58:33,159;0;0;0;0;0;0
12:58:33,169;0;0;0;0;0;0
12:58:33,179;0;0;0;0;0;0
12:58:33,192;0;0;0;0;0;0
12:58:33,200;0;0;0;0;0;0
12:58:33,209;0;0;0;0;0;0
12:58:33,219;0;0;0;0;0;0
12:58:33,229;0;0;0;0;0;0
12:58:33,241;0;0;0;0;0;0
12:58:33,249;0;0;0;0;0;0
12:58:33,259;0;0;0;0;0;0
12:58:33,269;0;0;0;0;0;0
12:58:33,282;0;0;0;0;0;0
12:58:33,290;0;0;0;0;0;0
12:58:33,299;0;0;0;0;0;0
12:58:33,309;0;0;0;0;0;0
12:58:33,319;0;0;0;0;0;0
12:58:33,331;0;0;0;0;0;0
12:58:33,340;0;0;0;0;0;0
12:58:33,354;0;0;0;0;0;0
12:58:33,359;0;0;0;0;0;0
12:58:33,369;0;0;0;0;0;0
12:58:33,380;0;0;0;0;0;0
12:58:33,391;0;0;0;0;0;0
12:58:33,399;0;0;0;0;0;0
12:58:33,409;0;0;0;0;0;0
12:58:33,419;0;0;0;0;0;0
12:58:33,433;0;0;0;0;0;0
12:58:33,440;0;0;0;0;0;0
12:58:33,449;0;0;0;0;0;0
12:58:33,459;0;0;0;0;0;0
12:58:33,469;0;0;0;0;0;0
12:58:33,481;0;0;0;0;0;0
12:58:33,490;0;0;0;0;0;0
12:58:33,499;0;0;0;0;0;0
12:58:33,509;0;0;0;0;0;0
12:58:33,519;0;0;0;0;0;0
12:58:33,529;0;0;0;0;0;0
12:58:33,540;0;0;0;0;0;0
12:58:33,549;0;0;0;0;0;0
12:58:33,559;0;0;0;0;0;0
12:58:33,569;0;0;0;0;0;0
12:58:33,579;0;0;0;0;0;0
12:58:33,590;0;0;0;0;0;0
12:58:33,599;0;0;0;0;0;0
12:58:33,609;0;0;0;0;0;0
12:58:33,620;0;0;0;0;0;0
12:58:33,630;0;0;0;0;0;0
12:58:33,640;0;0;0;0;0;0
12:58:33,650;0;0;0;0;0;0
12:58:33,661;0;0;0;0;0;0
12:58:33,670;0;0;0;0;0;0
12:58:33,681;0;0;0;0;0;0
12:58:33,691;0;0;0;0;0;0
12:58:33,700;0;0;0;0;0;0
12:58:33,710;0;0;0;0;0;0
12:58:33,720;0;0;0;0;0;0
12:58:33,731;0;0;0;0;0;0
12:58:33,742;0;0;0;0;0;0
12:58:33,753;0;0;0;0;0;0
12:58:33,760;0;0;0;0;0;0
12:58:33,770;0;0;0;0;0;0
12:58:33,780;0;0;0;0;0;0
12:58:33,793;0;0;0;0;0;0
12:58:33,800;0;0;0;23;17;23
