TIME;L1;L2;L3;L4;L5;L6;WIATR;METAN;pH;KONTAKTRON;ZAPYLENIE;KIERUNEK W;TEMP;WILGOTNOSC
10:38:21,052;-49,000000;-48,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,059;-49,000000;-48,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,066;-49,000000;-48,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,071;-49,000000;-41,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,075;-49,000000;-41,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,080;-49,000000;-41,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,084;-49,000000;-41,000000;-41,000000;48,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,089;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,096;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,101;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,106;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,110;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,116;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10:38:21,121;-49,000000;-41,000000;-41,000000;50,000000;49,000000;51,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
