TIME;L1;L2;L3;L4;L5;L6;WIATR;METAN;pH;KONTAKTRON;ZAPYLENIE;KIERUNEK W;TEMP;WILGOTNOSC
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:47,9;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:48,0;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:48,0;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:48,0;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
44:48,0;10;11;10;-10;-10;-10;0;0;0;0;0;0;0;0
